username, created_at, lng, lat, text
bonanzavalley, Fri Apr 24 03:08:34 +0000 2020, -93.361321, 46.441861, @SingerErnie and this is on MSNBC! 20+ percent of NYC has already been infected!!!!!! And they're admitting it! https://t.co/NAFaa6sahI 
SuperWoman26245, Fri Apr 24 03:08:34 +0000 2020, -121.243144, 38.649569, @joshtpm He has completely lost every last one of his marbles hasn't he? No seriously? He now thinks he is as quali… https://t.co/CqNztWgHIz 
RobIsRandomAF_6, Fri Apr 24 03:08:34 +0000 2020, -83.804475, 27.698682, They’ve already escorted her outta his momma house booboo lol 
youcantblock_jd, Fri Apr 24 03:08:34 +0000 2020, -90.723902, 29.982022, Go defense 
FactorAnalyzer, Fri Apr 24 03:08:34 +0000 2020, -80.028042, 40.583877, @Zichivhu I’m with you there . Patriots traded out . They know gems are still available 
RealKyleHunt, Fri Apr 24 03:08:34 +0000 2020, -117.104989, 32.810012, Keep your thoughts and prayers. They do nothing for us. 
tadeorysx, Fri Apr 24 03:08:35 +0000 2020, -84.712302, 38.054885, 😪 
CoachShyatt, Fri Apr 24 03:08:35 +0000 2020, -105.605821, 41.308163, Love when good people end up with good people. So happy for both @Imshifty11 and @JMUMBasketball  #GoDukes 
rback21, Fri Apr 24 03:08:35 +0000 2020, -98.540651, 29.417501, Eagles drafting a Safety would be great also 
TerryLBergen1, Fri Apr 24 03:08:35 +0000 2020, -121.951252, 49.137310, SARS started from a wild animal market in China and according to  Glpbal those markets were supposed to be shut down at that time. 
TommyDubbs46, Fri Apr 24 03:08:35 +0000 2020, -115.234435, 36.018805, @TatsandPats77 Nope and they said exactly what I figured "why" they did it; get the same dude at 37 that you'd get… https://t.co/2W9fNRnl8F 
BuenosDias99, Fri Apr 24 03:08:35 +0000 2020, -80.137196, 25.956118, I forgot this mother fucker had rona 
_forevaPEA, Fri Apr 24 03:08:35 +0000 2020, -95.446486, 29.838495, Sooo ready to get in bed 
chelles11, Fri Apr 24 03:08:35 +0000 2020, -117.851089, 33.842863, My favorite bubbly ❤️ #wilsoncreek #wind https://t.co/h5RxbPPUg0 
fresnokid1, Fri Apr 24 03:08:35 +0000 2020, -95.778712, 29.721989, Stupid as all get up 
kzack1313, Fri Apr 24 03:08:35 +0000 2020, -100.076888, 31.168893, He was like no way girl 😂😱😂 
DaveMoore44, Fri Apr 24 03:08:35 +0000 2020, -81.383155, 41.430370, @sigg20 No chaw? 
cockwafflezz, Fri Apr 24 03:08:35 +0000 2020, -93.361321, 46.441861, @interwistingly PLEASE GIVE ME THE CODE OMFG 
Bill_Canter, Fri Apr 24 03:08:35 +0000 2020, -77.084908, 38.970278, “Really Want to Flood NY and NJ”: Internal Documents Reveal Team Trump’s Chloroquine Master Plan https://t.co/WkTmx8zsnP via @VanityFair 
kdglik, Fri Apr 24 03:08:35 +0000 2020, -95.446486, 29.838495, Texan fans are sick 😂😂😂 
TexanInOz, Fri Apr 24 03:08:35 +0000 2020, -111.917026, 40.765805, @Sunsplashsun @redbuttegarden 
BodyMri, Fri Apr 24 03:08:35 +0000 2020, -75.117998, 40.004866, @BrandonBroadhu3 @ScottPresler @realDonaldTrump @stevestivers 🤮 
tkirkphoto, Fri Apr 24 03:08:35 +0000 2020, -120.882482, 47.273022, @RepDerekKilmer Hope you are well. 
Arcticwolff, Fri Apr 24 03:08:35 +0000 2020, -81.705467, 41.495940, @turtledumplin Yay! 
staaavo, Fri Apr 24 03:08:35 +0000 2020, -118.411907, 34.020789, 😂😂😂😂😂 
RussellDuren, Fri Apr 24 03:08:35 +0000 2020, -115.223125, 36.232915, Shutdowns are for corporate cronies. 
Shandreka13, Fri Apr 24 03:08:36 +0000 2020, -93.294766, 30.847570, Need to be in somebody’s gym 
KCartledge85, Fri Apr 24 03:08:36 +0000 2020, -83.173867, 32.678207, @AtlantaFalcons @TheFalcoholic TD just CANT pick the best player available unless it’s a WR, can he? 
FR3DWORD, Fri Apr 24 03:08:36 +0000 2020, -98.713084, 29.550182, @ManusBaldspot99 Y’all barely score 21 😂 
ashley_bug22085, Fri Apr 24 03:08:36 +0000 2020, -86.441236, 39.766555, “yeah so i didn’t like this cat i got and i actually uh faded it for a blunt” excuse me WHAT 💀 
FadeN2Gaming, Fri Apr 24 03:08:36 +0000 2020, -76.295896, 36.763216, I wonder what @cj_wentz is thinking right about now 🤔🤔🤔 #flyeaglesfly 
CMcGee1, Fri Apr 24 03:08:36 +0000 2020, -90.178629, 30.001244, I told you that OL was coming 
IshaboiBrandon, Fri Apr 24 03:08:36 +0000 2020, -91.090800, 30.459100, I hate us lmaoooooo 
AleGandaraA, Fri Apr 24 03:08:36 +0000 2020, -106.162898, 28.941866, @Mr_Alchemist Ten la "D" 
Mrlovestein, Fri Apr 24 03:08:36 +0000 2020, -74.934345, 39.790061, Better off having chip kelly doing our draft 
Drebuckz_, Fri Apr 24 03:08:36 +0000 2020, -73.849441, 40.850347, Being a NY nigga is phenomenal. You in tuned with everything jiggy 
kukuaa2, Fri Apr 24 03:08:36 +0000 2020, -122.334461, 47.307568, 1.Understand 2.Motion 3.Everlasting 4.Only Love 5. Nominate - My top 5 fav. but the whole album is 🔥🔥🔥You deserve… https://t.co/9Ks0bDSJ74 
ItsKarinmarie, Fri Apr 24 03:08:36 +0000 2020, -93.262046, 44.970610, @DawnAtFOX9 @christos77 😂 
tigerbait0913, Fri Apr 24 03:08:36 +0000 2020, -91.090800, 30.459100, @Joe_Burrow10 Lifetime Tiger. New born Bengal! Good luck Joe! Gonna be cheering for you on Sundays now! 
SJC4783, Fri Apr 24 03:08:36 +0000 2020, -80.817245, 41.235332, Home made tomato basil pasta 🍅🍝🥂#QuarantineKitchen https://t.co/TpI1d0AlEq 
_icoach, Fri Apr 24 03:08:36 +0000 2020, -94.128634, 30.086918, @JacoryPerrault I said what I said 
xMADE_in_ASIAx, Fri Apr 24 03:08:36 +0000 2020, -96.761753, 32.819858, Aww prayers for Dak and his family. That pain from that type of loss is beyond devastating 
ShaggyBlack, Fri Apr 24 03:08:36 +0000 2020, -83.804475, 27.698682, @ThatGuyEdub What side of town g? 
iJordan340, Fri Apr 24 03:08:36 +0000 2020, -83.173867, 32.678207, Triggered. 
The_LifeOfNova, Fri Apr 24 03:08:36 +0000 2020, -75.117998, 40.004866, I can’t be mad at us picking a WR that ran a 4.22-4.28 40... He can be 5’11” as long as he runs that fast I am perf… https://t.co/U88GUkWg42 
sales1ltd, Fri Apr 24 03:08:36 +0000 2020, -83.139281, 40.125273, @BBB_54_ Yep! https://t.co/xn8uu7gfvm 
G_Wyatt_War, Fri Apr 24 03:08:36 +0000 2020, -76.796447, 40.157443, @Nader723 @Saints We all stunned 
ichrissylove, Fri Apr 24 03:08:37 +0000 2020, -73.053745, 41.224028, The smart water alkaline 9+ph ISSSS BOMBBBBB UGHH MY NEW FAVORITE WATER 
V_Broncos, Fri Apr 24 03:08:37 +0000 2020, -104.922093, 39.713563, 2 years ago @Broncos let Courtland Sutton and Bradley Chubb fall into their laps.Last year they waited...&amp; waited… https://t.co/zy4eoHdz9J 
traceyecorder, Fri Apr 24 03:08:37 +0000 2020, -122.228685, 37.791994, Excellent. 
MD03191, Fri Apr 24 03:08:37 +0000 2020, -77.236969, 38.805115, @FuhrerZakk Hello 
mrgilmore10, Fri Apr 24 03:08:37 +0000 2020, -119.165389, 34.181956, Y’all better hope Bill’s “system” is real because the Pats lookin a lil rough 😂 
iamjohaaan, Fri Apr 24 03:08:37 +0000 2020, -71.955533, 45.412629, @brokeboi691 Timal j’ai raté l’événement 
asmall_word, Fri Apr 24 03:08:37 +0000 2020, -77.014398, 38.898603, I wish Anthony Bourdain was here right now to express the complete outrage about what’s being perpetrated on the re… https://t.co/oP1cddjd0h 
rena_doves, Fri Apr 24 03:08:37 +0000 2020, -111.738566, 33.295215, So beautiful ✨ 
__hiipow3r__, Fri Apr 24 03:08:37 +0000 2020, -97.011168, 32.655678, @KayLynTrippler Ah man, i hope everything’s okay 🙏🏾 
_GodPunchPat, Fri Apr 24 03:08:37 +0000 2020, -95.326899, 29.547885, https://t.co/nwfPiEY5zl 
elizzabethrae, Fri Apr 24 03:08:37 +0000 2020, -98.540651, 29.417501, I have all A’s in my classes... some shit isn’t adding up to 
mattiaerre, Fri Apr 24 03:08:37 +0000 2020, -118.411907, 34.020789, @secretGeek npm for @nodejs and @UseExpressJS and yarn for @reactjs don’t really know why 😅 
Sir_Heist, Fri Apr 24 03:08:37 +0000 2020, -111.917026, 40.765805, New Travis and Cudi tonight. Ahhh lemme get my drugs ready. 
wineanyhouse, Fri Apr 24 03:08:37 +0000 2020, -74.328959, 40.788061, O conceito votar no babu você é automaticamente racista, não gosta de ver pobre feliz, pobre ao seu ver não pode te… https://t.co/ik359VK2u2 
itsgracieboii, Fri Apr 24 03:08:37 +0000 2020, -88.936684, 39.854585, i wanna kiss whoever created game pigeon 
iJordan340, Fri Apr 24 03:08:37 +0000 2020, -83.173867, 32.678207, -googles how to make focaccia- 
